Title,Type,ISSN,ISSN_A,ISSN_B,SJR,HINDEX,JCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-ACANCERJOURNALFORCLINICIANS,journal,"15424863, 00079235",15424863,79235,88192,156,223679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMWR.RECOMMENDATIONSANDREPORTS:MORBIDITYANDMORTALITYWEEKLYREPORT.RECOMMENDATIONSANDREPORTS/CENTERSFORDISEASECONTROL,journal,"10575987, 15458601",10575987,15458601,41022,138,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATUREREVIEWSMATERIALS,journal,20588437,20588437,,36691,80,74449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUARTERLYJOURNALOFECONOMICS,journal,"00335533, 15314650",335533,15314650,36.22,246,11775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATUREREVIEWSMOLECULARCELLBIOLOGY,journal,"14710072, 14710080",14710072,14710080,29997,411,43351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NATIONALVITALSTATISTICSREPORTS:FROMTHECENTERSFORDISEASECONTROLANDPREVENTION,NATIONALCENTERFORHEALTHSTATISTICS,NATIONALVITALSTATISTICSSYSTEM",book series,"15518922, 15518930",15518922,15518930,29.81,95,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATUREREVIEWSGENETICS,journal,"14710056, 14710064",14710056,14710064,28619,345,43704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CELL,journal,"00928674, 10974172",928674,10974172,24698,747,36216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REVIEWSOFMODERNPHYSICS,journal,"00346861, 15390756",346861,15390756,21938,316,38296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATUREREVIEWSCANCER,journal,"1474175X, 14741768",1474175X,14741768,21287,418,51848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOURNALOFPOLITICALECONOMY,journal,"00223808, 1537534X",223808,1537534X,21239,179,6342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMICALREVIEWS,journal,"15206890, 00092665",15206890,92665,20847,656,54301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMWR.SURVEILLANCESUMMARIES:MORBIDITYANDMORTALITYWEEKLYREPORT.SURVEILLANCESUMMARIES/CDC,journal,"15458636, 15460738",15458636,15460738,20617,95,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATUREREVIEWSIMMUNOLOGY,journal,"14741741, 14741733",14741741,14741733,20611,371,44019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATUREMETHODS,journal,"15487091, 15487105",15487091,15487105,20148,289,28467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATUREGENETICS,journal,"10614036, 15461718",10614036,15461718,19795,550,25455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATUREENERGY,journal,20587546,20587546,,19635,92,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VITAL&HEALTHSTATISTICS.SERIES3,ANALYTICALANDEPIDEMIOLOGICALSTUDIES/[U.S.DEPT.OFHEALTHANDHUMANSERVICES,PUBLICHEALTHSERVICE,NATIONALCENTERFORHEALTHSTATISTICS]",journal,8864691,8864691,,19393,5,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWENGLANDJOURNALOFMEDICINE,journal,"00284793, 15334406",284793,15334406,18291,987,70.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUALREVIEWOFBIOCHEMISTRY,journal,"15454509, 00664154",15454509,664154,17387,285,26922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOURNALOFFINANCE,journal,"00221082, 15406261",221082,15406261,17134,285,6201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATUREMEDICINE,journal,"1546170X, 10788956",1546170X,10788956,15812,524,30641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THELANCETONCOLOGY,journal,"14702045, 14745488",14702045,14745488,15.65,305,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATUREREVIEWSCHEMISTRY,journal,23973358,23973358,,15.61,33,30628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATURENANOTECHNOLOGY,journal,"17483387, 17483395",17483387,17483395,15555,316,33407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATUREMATERIALS,journal,"14764660, 14761122",14764660,14761122,14862,448,38887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATUREREVIEWSNEUROSCIENCE,journal,"14710048, 1471003X",14710048,1471003X,14.78,397,33162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECONOMETRICA,journal,"00129682, 14680262",129682,14680262,14563,179,4281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THELANCET,journal,"01406736, 1474547X",1406736,1474547X,14554,747,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMICALSOCIETYREVIEWS,journal,"03060012, 14604744",3060012,14604744,14.49,471,40443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVANCESINPHYSICS,journal,"14606976, 00018732",14606976,18732,14432,108,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
