,TITLE,YEAR,DOI,JOURNAL,ISSN,QUALIS,AUTHOR,CLASSIFIED_AUTHORS
0,Lifetime and polarization for real and virtual correlated Stokes-anti-Stokes Raman scattering in diamond,2020,10.1103/physrevresearch.2.013084,Physical Review Research,26431564,C,"['DE AGUIAR JUNIOR, FILOMENO S. ', 'SANTOS, MARCELO F. ', 'CARLOS HENRIQUE MONKEN', 'ADO JORIO DE VASCONCELOS']","['DE AGUIAR JUNIOR, FILOMENO S.  (externo)', 'SANTOS, MARCELO F.  (egresso(s/o))', 'CARLOS HENRIQUE MONKEN (externo)', 'ADO JORIO DE VASCONCELOS (docente)']"
1,Few-Wall Carbon Nanotube Coils,2020,10.1021/acs.nanolett.9b03977,NANO LETTERS,15306984,A1,"['DEKEL NAKAR', 'STEPHANIE REICH', 'JOSELEVICH, ERNESTO', 'GORDEEV, GEORGY', 'MACHADO, LEONARDO D. ', 'RONIT POPOVITZ-BIRO', 'KATYA RECHAV', 'ELIEZER OLIVEIRA', 'PATRYK KUSCH', 'ADO JORIO DE VASCONCELOS', 'DOUGLAS S.  GALVAO']","['DEKEL NAKAR (externo)', 'STEPHANIE REICH (externo)', 'JOSELEVICH, ERNESTO (externo)', 'GORDEEV, GEORGY (externo)', 'MACHADO, LEONARDO D.  (externo)', 'RONIT POPOVITZ-BIRO (externo)', 'KATYA RECHAV (externo)', 'ELIEZER OLIVEIRA (externo)', 'PATRYK KUSCH (externo)', 'ADO JORIO DE VASCONCELOS (docente)', 'DOUGLAS S.  GALVAO (externo)']"
2,Raman spectroscopy analysis of number of layers in mass-produced graphene flakes,2020,10.1016/j.carbon.2020.01.050,CARBON,00086223,A1,"['DIEGO L SILVA', 'OMAR PARANAIBA VILELA NETO', 'ADO JORIO DE VASCONCELOS', 'CANCADO, L.  G. ', 'JOAO LUIZ ELIAS CAMPOS', 'THALES F D FERNANDES', 'JERONIMO N ROCHA', 'LUCAS R P MACHADO', 'EDER M SOARES', 'DOUGLAS R MESQUITA', 'MIRANDA, HUDSON', 'CASSIANO RABELO E SILVA']","['DIEGO L SILVA (externo)', 'OMAR PARANAIBA VILELA NETO (externo)', 'ADO JORIO DE VASCONCELOS (docente)', 'CANCADO, L.  G.  (externo)', 'JOAO LUIZ ELIAS CAMPOS (externo)', 'THALES F D FERNANDES (externo)', 'JERONIMO N ROCHA (externo)', 'LUCAS R P MACHADO (externo)', 'EDER M SOARES (externo)', 'DOUGLAS R MESQUITA (externo)', 'MIRANDA, HUDSON (egresso(s/o))', 'CASSIANO RABELO E SILVA (egresso(s/o))']"
3,Properties of carbon particles in archeological and natural Amazon rainforest soils,2020,10.1016/j.catena.2020.104687,CATENA,03418162,A1,"['PANDEY, SUGANDHA DOGRA', 'ROCHA, LEONARDO CRISTIAN', 'PEREIRA, GABRIEL', 'DESCHAMPS, CAMILA', 'CAMPOS, JOAO LUIZ ELIAS', 'FALCAO, NEWTON', 'PROUS, ANDRE', 'ADO JORIO DE VASCONCELOS']","['PANDEY, SUGANDHA DOGRA (externo)', 'ROCHA, LEONARDO CRISTIAN (externo)', 'PEREIRA, GABRIEL (externo)', 'DESCHAMPS, CAMILA (externo)', 'CAMPOS, JOAO LUIZ ELIAS (externo)', 'FALCAO, NEWTON (externo)', 'PROUS, ANDRE (externo)', 'ADO JORIO DE VASCONCELOS (docente)']"
4,O Impacto Econômico do Financiamento da Ciência no Brasil: um estudo comparativo entre importação e produção de um bem de capital em nanotecnologia,2020,10.14393/ REE-v35n1a2020-4977,ECONOMIA ENSAIOS,19831994,B2,"['CELSO BISSOLI SESSA', 'ADO JORIO DE VASCONCELOS', 'MARCIA DIAS DINIZ COSTA', 'MARCIA RAPINI']","['CELSO BISSOLI SESSA (externo)', 'ADO JORIO DE VASCONCELOS (docente)', 'MARCIA DIAS DINIZ COSTA (externo)', 'MARCIA RAPINI (externo)']"
5,Impact of substrate on tip-enhanced Raman spectroscopy: A comparison between field-distribution simulations and graphene measurements,2020,10.1103/PhysRevResearch.2.023408,Physical Review Research,26431564,C,"['HUDSON LUIZ SILVA DE MIRANDA', 'ADO JORIO DE VASCONCELOS', 'CASSIANO RABELO E SILVA', 'CANCADO, L.  G. ', 'THIAGO DE LOURENCO E VASCONCELOS', 'BRUNO SANTOS DE OLIVEIRA', 'FLORIAN SCHULZ', 'HOLGER LANGE', 'STEPHANIE REICH', 'PATRYK KUSCH']","['HUDSON LUIZ SILVA DE MIRANDA (egresso(s/o))', 'ADO JORIO DE VASCONCELOS (docente)', 'CASSIANO RABELO E SILVA (egresso(s/o))', 'CANCADO, L.  G.  (externo)', 'THIAGO DE LOURENCO E VASCONCELOS (externo)', 'BRUNO SANTOS DE OLIVEIRA (egresso(s/o))', 'FLORIAN SCHULZ (externo)', 'HOLGER LANGE (externo)', 'STEPHANIE REICH (externo)', 'PATRYK KUSCH (externo)']"
6,Optical Properties of Plasmon-Tunable Tip Pyramids for Tip-Enhanced Raman Spectroscopy,2020,10.1002/pssr.202000212,Physica Status Solidi-Rapid Research Letters,18626254,A2,"['MIRANDA, HUDSON', 'RABELO, CASSIANO', 'E VASCONCELOS, THIAGO DE LOURENCO', 'CANCADO, L.  G. ', 'ADO JORIO DE VASCONCELOS']","['MIRANDA, HUDSON (egresso(s/o))', 'RABELO, CASSIANO (externo)', 'E VASCONCELOS, THIAGO DE LOURENCO (externo)', 'CANCADO, L.  G.  (externo)', 'ADO JORIO DE VASCONCELOS (docente)']"
7,Optical Nanoantennas for Tip-Enhanced Raman Spectroscopy,2020,10.1109/JSTQE.2020.3008526,IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,1077260X,A1,"['THIAGO DE LOURENCO E VASCONCELOS', 'ARCHANJO, BRAULIO SOARES', 'BRUNO SANTOS DE OLIVEIRA', 'WILLIAM F.  SILVA', 'ALENCAR, RAFAEL SILVA', 'CASSIANO RABELO E SILVA', 'ACHETE, C.  A. ', 'ADO JORIO DE VASCONCELOS', 'CANCADO, L.  G. ']","['THIAGO DE LOURENCO E VASCONCELOS (externo)', 'ARCHANJO, BRAULIO SOARES (externo)', 'BRUNO SANTOS DE OLIVEIRA (egresso(s/o))', 'WILLIAM F.  SILVA (externo)', 'ALENCAR, RAFAEL SILVA (externo)', 'CASSIANO RABELO E SILVA (egresso(s/o))', 'ACHETE, C.  A.  (externo)', 'ADO JORIO DE VASCONCELOS (docente)', 'CANCADO, L.  G.  (externo)']"
8,Linkage Between Micro- and Nano-Raman Spectroscopy of Defects in Graphene,2020,10.1103/PhysRevApplied.14.024056,Physical Review Applied,23317019,A1,"['CASSIANO RABELO E SILVA', 'THIAGO DE LOURENCO E VASCONCELOS', 'PUBLIO, BRUNO C. ', 'MIRANDA, HUDSON', 'CANCADO, L.  G. ', 'ADO JORIO DE VASCONCELOS']","['CASSIANO RABELO E SILVA (egresso(s/o))', 'THIAGO DE LOURENCO E VASCONCELOS (externo)', 'PUBLIO, BRUNO C.  (externo)', 'MIRANDA, HUDSON (egresso(s/o))', 'CANCADO, L.  G.  (externo)', 'ADO JORIO DE VASCONCELOS (docente)']"
9,Temperature-dependent phonon dynamics and anharmonicity of suspended and supported few-layer gallium sulfide,2020,10.1088/1361-6528/abb107,NANOTECHNOLOGY,09574484,A1,"['FRANCISCO ARAUJO', 'ANTONIO GOMES DE SOUZAFILHO', 'ALENCAR, RAFAEL SILVA', 'BARTOLOMEU VIANA', 'VICTOR OLIVEIRA', 'ANDREIJ GADELHA', 'THAIS CARVALHO', 'THALES F D FERNANDES', 'FRANCISCO NUNES SILVA', 'RAPHAEL LONGUINHOS MONTEIRO LOBATO', 'RIBEIRO-SOARES, JENAINA', 'ADO JORIO DE VASCONCELOS']","['FRANCISCO ARAUJO (externo)', 'ANTONIO GOMES DE SOUZAFILHO (externo)', 'ALENCAR, RAFAEL SILVA (externo)', 'BARTOLOMEU VIANA (externo)', 'VICTOR OLIVEIRA (externo)', 'ANDREIJ GADELHA (externo)', 'THAIS CARVALHO (externo)', 'THALES F D FERNANDES (externo)', 'FRANCISCO NUNES SILVA (externo)', 'RAPHAEL LONGUINHOS MONTEIRO LOBATO (externo)', 'RIBEIRO-SOARES, JENAINA (externo)', 'ADO JORIO DE VASCONCELOS (docente)']"
