,TITLE,YEAR,AUTHOR,CLASSIFIED_AUTHORS
0,Observation of moiré superlattices on twisted bilayer graphene by scanning microwave impedance microscopy,2020,"['OHLBERG, DOUGLAS A.  A. ', 'GONCALVES DO REGO, CASSIO', 'ADO JORIO DE VASCONCELOS', 'MEDEIROS-RIBEIRO, GILBERTO', 'GADELHA, ANDREIJ C. ', 'TAMIA, DIEGO', 'NETO, ELIEL G.  S. ', 'MIRANDA, DANIEL A. ', 'LEMOS, JESSICA S. ', 'SANTANA, FABIANO C. ', 'CAMPOS, LEONARDO C. ', 'RAMIREZ, JHONATTAN C. ']","['OHLBERG, DOUGLAS A.  A.  (externo)', 'GONCALVES DO REGO, CASSIO (docente)', 'ADO JORIO DE VASCONCELOS (docente)', 'MEDEIROS-RIBEIRO, GILBERTO (docente)', 'GADELHA, ANDREIJ C.  (externo)', 'TAMIA, DIEGO (externo)', 'NETO, ELIEL G.  S.  (externo)', 'MIRANDA, DANIEL A.  (externo)', 'LEMOS, JESSICA S.  (externo)', 'SANTANA, FABIANO C.  (externo)', 'CAMPOS, LEONARDO C.  (externo)', 'RAMIREZ, JHONATTAN C.  (docente)']"
1,Power- and Current-Based Control of Distributed Inverters in Low-Voltage Microgrids: Considerations in Relation to Classic Droop Control,2020,"['MARAFAO, FERNANDO P. ', 'ALONSO, AUGUSTO M.  S. ', 'GOTHNER, FREDRIK', 'TEDESCHI, ELISABETTA', 'DANILO IGLESIAS BRANDAO']","['MARAFAO, FERNANDO P.  (externo)', 'ALONSO, AUGUSTO M.  S.  (externo)', 'GOTHNER, FREDRIK (externo)', 'TEDESCHI, ELISABETTA (externo)', 'DANILO IGLESIAS BRANDAO (docente)']"
2,Classificação de Cargas em Microrredes Utilizando a Análise Relacional Grey e Fatores de Desempenho da Carga,2020,"['BRUNA RAFAELA PENIDO CONRADO', 'SIDELMO MAGALHAES SILVA', 'DANILO IGLESIAS BRANDAO', 'WESLEY ANGELINO SOUZA', 'ALEXANDRE MOREIRA', 'HELMO KELIS MORALES PAREDES']","['BRUNA RAFAELA PENIDO CONRADO (egresso(s/o))', 'SIDELMO MAGALHAES SILVA (docente)', 'DANILO IGLESIAS BRANDAO (docente)', 'WESLEY ANGELINO SOUZA (externo)', 'ALEXANDRE MOREIRA (egresso(s/o))', 'HELMO KELIS MORALES PAREDES (externo)']"
3,Análise da Viabilidade Técnico-Econômica para a Instalação de Condicionadores de QEE,2020,"['BRUNA RAFAELA PENIDO CONRADO', 'DANILO IGLESIAS BRANDAO', 'EDUARDO VERRI LIBERADO', 'WESLEY ANGELINO SOUZA', 'ALEXANDRE MOREIRA']","['BRUNA RAFAELA PENIDO CONRADO (egresso(s/o))', 'DANILO IGLESIAS BRANDAO (docente)', 'EDUARDO VERRI LIBERADO (externo)', 'WESLEY ANGELINO SOUZA (externo)', 'ALEXANDRE MOREIRA (egresso(s/o))']"
4,Comparação de Vida Útil entre Bancos de Baterias de Íon-lítio e Chumbo-ácido no Contexto da Compensação de Energia com Fotovoltaicos e Tarifa Branca,2020,"['BARBARA APARECIDA LEMES PAIXAO', 'DANILO IGLESIAS BRANDAO', 'NICOLAS T.  D.  FERNANDES', 'BRUNO MARCIANO LOPES', 'WADAED UTURBEY DA COSTA']","['BARBARA APARECIDA LEMES PAIXAO (egresso(s/o))', 'DANILO IGLESIAS BRANDAO (docente)', 'NICOLAS T.  D.  FERNANDES (discente(s/o))', 'BRUNO MARCIANO LOPES (discente)', 'WADAED UTURBEY DA COSTA (docente)']"
5,Set-Invariance Based Fuzzy Output Tracking Control for Vehicle Autonomous Driving under Uncertain Lateral Forces and Steering Constraints,2020,"['ANH-TU NGUYEN', 'GUERRA, THIERRY-MARIE', 'JAGAT RATH', 'HUI ZHANG', 'REINALDO MARTINEZ PALHARES']","['ANH-TU NGUYEN (externo)', 'GUERRA, THIERRY-MARIE (externo)', 'JAGAT RATH (externo)', 'HUI ZHANG (externo)', 'REINALDO MARTINEZ PALHARES (docente)']"
6,Dissipativity and Stability Recovery by Fault Hiding,2020,"['IURY VALENTE DE BESSA', 'VICENC PUIG', 'REINALDO MARTINEZ PALHARES']","['IURY VALENTE DE BESSA (discente)', 'VICENC PUIG (externo)', 'REINALDO MARTINEZ PALHARES (docente)']"
7,Fault Prognostics of Rolling Bearings Using a Hybrid Approach,2020,"['MURILO CESAR OSORIO CAMARGOS', 'IURY VALENTE DE BESSA', ""MARCOS FLAVIO SILVEIRA VASCONCELOS D'ANGELO"", 'REINALDO MARTINEZ PALHARES']","['MURILO CESAR OSORIO CAMARGOS (egresso(s/o))', 'IURY VALENTE DE BESSA (discente)', ""MARCOS FLAVIO SILVEIRA VASCONCELOS D'ANGELO (externo)"", 'REINALDO MARTINEZ PALHARES (docente)']"
8,MPC robusto para sistemas lineares com saltos Markovianos restrições em segundo momento,2020,"['ROSILEIDE DE OLIVEIRA LOPES', 'EDUARDO MAZONI ANDRADE MARCAL MENDES', 'ALESSANDRO DO NASCIMENTO VARGAS', 'REINALDO MARTINEZ PALHARES']","['ROSILEIDE DE OLIVEIRA LOPES (egresso(s/o))', 'EDUARDO MAZONI ANDRADE MARCAL MENDES (docente)', 'ALESSANDRO DO NASCIMENTO VARGAS (externo)', 'REINALDO MARTINEZ PALHARES (docente)']"
9,Robust quadcopter control with artificial vector fields,2020,"['ADRIANO M.  C.  REZENDE', 'VINICIUS MARIANO GONCALVES', 'ARTHUR H.  D.  NUNES', 'LUCIANO CUNHA DE ARAUJO PIMENTA']","['ADRIANO M.  C.  REZENDE (egresso(s/o))', 'VINICIUS MARIANO GONCALVES (docente)', 'ARTHUR H.  D.  NUNES (externo)', 'LUCIANO CUNHA DE ARAUJO PIMENTA (docente)']"
